NUMBER  NAME        TRIES / CATCHES

[001]	Bulbasaur	410 / 11
[002]	Ivysaur		674 / 8
[003]	Venusaur	1650 / 15
[004]	Charmander	379 / 22
[005]	Charmeleon	1129 / 14
[006]	Charizard	3257 / 24
[007]	Squirtle	201 / 6
[008]	Wartortle	115 / 1
[009]	Blastoise	362 / 3
[010]	Caterpie	112 / 111
[011]	Metapod		151 / 44
[012]	Butterfree	2737 / 237
[013]	Weedle		17 / 17
[014]	Kakuna		21 / 13
[015]	Beedrill	619 / 59
[016]	Pidgey		142 / 137
[017]	Pidgeotto	1085 / 138
[018]	Pidgeot		566 / 4
[019]	Rattata		87 / 85
[020]	Raticate	0 / 0
[021]	Spearow		100 / 99
[022]	Fearow		327 / 18
[023]	Ekans		53 / 8
[024]	Arbok		199 / 10
[025]	Pikachu		435 / 24
[026]	Raichu		1490 / 10
[027]	Sandshrew	256 / 71
[028]	Sandslash	1311 / 52
[029]	Nidoran Female	42 / 29
[030]	Nidorina	95 / 10
[031]	Nidoqueen	257 / 3
[032]	Nidoran Male	37 / 14
[033]	Nidorino	114 / 20
[034]	Nidoking	432 / 7
[035]	Clefairy	58 / 5
[036]	Clefable	384 / 4
[037]	Vulpix		199 / 43
[038]	Ninetales	380 / 7
[039]	Jigglypuff	33 / 7
[040]	Wigglytuff	140 / 3
[041]	Zubat		172 / 78
[042]	Golbat		171 / 23
[043]	Oddish		471 / 391
[044]	Gloom		2894 / 241
[045]	Vileplume	571 / 12
[046]	Paras		15 / 13
[047]	Parasect	1204 / 87
[048]	Venonat		100 / 16
[049]	Venomoth	3908 / 242
[050]	Diglett		150 / 128
[051]	Dugtrio		196 / 14
[052]	Meowth		81 / 51
[053]	Persian		40 / 5
[054]	Psyduck		150 / 32
[055]	Golduck		538 / 20
[056]	Mankey		169 / 67
[057]	Primeape	233 / 11
[058]	Growlithe	392 / 86
[059]	Arcanine	771 / 12
[060]	Poliwag		38 / 36
[061]	Poliwhirl	19 / 1
[062]	Poliwrath	239 / 5
[063]	Abra		334 / 93
[064]	Kadabra		541 / 43
[065]	Alakazam	3389 / 42
[066]	Machop		604 / 243
[067]	Machoke		1022 / 54
[068]	Machamp		2028 / 27
[069]	Bellsprout	102 / 96
[070]	Weepinbell	656 / 88
[071]	Victreebel	490 / 18
[072]	Tentacool	44 / 30
[073]	Tentacruel	98 / 3
[074]	Geodude		247 / 147
[075]	Graveler	1036 / 63
[076]	Golem		1118 / 18
[077]	Ponyta		138 / 39
[078]	Rapidash	289 / 11
[079]	Slowpoke	403 / 336
[080]	Slowbro		229 / 6
[081]	Mega Slowbro	0 / 0
[082]	Magnemite	77 / 68
[083]	Magneton	483 / 32
[084]	Magnezone	33 / 7
[085]	Farfetch'd	457 / 24
[086]	Doduo		276 / 172
[087]	Dodrio		52 / 4
[088]	Seel		13 / 8
[089]	Dewgong		448 / 17
[090]	Grimer		56 / 23
[091]	Muk		165 / 8
[092]	Shellder	50 / 28
[093]	Cloyster	662 / 13
[094]	Gastly		493 / 84
[095]	Haunter		837 / 33
[096]	Gengar		1399 / 30
[097]	Onix		1129 / 43
[098]	Drowzee		227 / 62
[099]	Hypno		787 / 14
[100]	Krabby		68 / 66
[101]	Kingler		27 / 2
[102]	Voltorb		174 / 69
[103]	Electrode	541 / 23
[104]	Exeggcute	296 / 186
[105]	Exeggutor	264 / 4
[106]	Cubone		370 / 145
[107]	Marowak		742 / 33
[108]	Hitmonlee	2214 / 46
[109]	Hitmonchan	2858 / 45
[110]	Lickitung	184 / 5
[111]	Koffing		0 / 0
[112]	Weezing		84 / 6
[113]	Rhyhorn		0 / 0
[114]	Rhydon		947 / 19
[115]	Chansey		393 / 2
[116]	Tangela		2427 / 107
[117]	Kangaskhan	551 / 12
[118]	Horsea		107 / 69
[119]	Seadra		78 / 2
[120]	Goldeen		49 / 48
[121]	Seaking		31 / 7
[122]	Staryu		81 / 36
[123]	Starmie		75 / 3
